Date,BTS1,BTS2,BTS3,BTS4,BTS5
11/1/2018 7:17,5.67553,4.036493,4.025698,3.696183,3.282199
11/1/2018 7:17,5.946937,6.251304,2.74098,3.920537,2.813515
11/1/2018 7:18,5.935498,4.598773,3.905309,3.194181,3.750934
11/1/2018 7:18,5.952425,6.057257,3.562056,3.540745,3.42584
11/1/2018 7:18,5.868182,6.218362,3.723162,3.327838,3.47617
11/1/2018 7:18,6.184099,4.539563,3.777236,3.146685,3.87818
11/1/2018 7:18,6.246069,6.978438,2.855924,2.560614,4.532856
11/1/2018 7:18,6.021397,6.568283,3.815901,3.124563,5.670663
11/1/2018 7:18,6.036726,4.104497,2.924434,3.344247,5.522194
11/1/2018 7:18,5.779947,6.303191,4.308263,2.950162,3.80268
11/1/2018 7:18,5.840277,4.841624,2.651295,2.803329,3.168639
11/1/2018 7:18,6.004347,4.7356,2.957258,3.611978,4.271273
11/1/2018 7:18,5.910184,4.065536,2.624282,3.419839,4.677101
11/1/2018 7:18,5.966437,5.346483,3.277075,3.803496,3.027939
11/1/2018 7:19,5.833186,5.569,2.845349,3.610888,4.589912
11/1/2018 7:19,6.015828,6.573057,4.091429,3.651055,4.144218
11/1/2018 7:19,5.953606,6.587604,4.278483,2.981707,3.883429
11/1/2018 7:19,6.123673,6.783603,3.514168,3.705376,4.303739
11/1/2018 7:19,6.017447,7.991715,2.800212,2.733031,3.430688
11/1/2018 7:19,6.158796,6.43479,2.740879,2.782394,4.635688
11/1/2018 7:19,6.033301,3.839368,4.721331,3.232806,3.76944
11/1/2018 7:19,6.091833,5.321732,3.727106,3.39794,3.056953
11/1/2018 7:19,6.029376,4.725012,3.647136,3.386822,7.102152
11/1/2018 7:19,6.076437,5.919638,3.87536,2.598612,5.094266
11/1/2018 7:19,6.090082,7.159816,4.045413,3.00887,4.447921
11/1/2018 7:19,6.017259,4.184498,4.041533,3.954609,3.439694
11/1/2018 7:20,6.193238,9.697636,3.93854,3.858105,4.018244
11/1/2018 7:20,5.986898,5.161422,3.306262,3.589716,3.7103
11/1/2018 7:20,5.955434,5.991633,3.324336,3.338236,4.491673
11/1/2018 7:20,5.813163,6.242266,3.601032,3.829858,4.039401
11/1/2018 7:20,5.846073,4.893657,3.703368,4.038838,4.572989
11/1/2018 7:20,5.991139,5.685023,3.075714,4.233064,4.228931
11/1/2018 7:20,6.196048,5.992083,3.618026,3.75156,3.846969
11/1/2018 7:20,5.810813,4.550189,3.275583,2.85585,3.486381
11/1/2018 7:20,6.132227,6.881628,3.70974,4.694244,3.484187
11/1/2018 7:20,5.828246,3.904806,2.47682,4.752702,3.658534
11/1/2018 7:20,5.855557,4.563941,2.897288,4.803219,3.411237
11/1/2018 7:20,5.747826,6.706563,2.789848,3.664976,3.759274
11/1/2018 7:21,5.903817,5.318887,2.692013,2.664793,3.451679
11/1/2018 7:21,5.879463,6.980867,2.571645,3.461046,4.189731
11/1/2018 7:21,6.090428,4.692783,2.934015,3.002089,3.483771
